t,x,y,z,vx,vy,vz,earth_x,earth_y,earth_z,moon_x,moon_y,moon_z,sx,sy,sz
7343615.1036392162,-149449645473.57819,-15534188856.271645,-6704538948.2880821,3681.4449784756312,-27398.43375997835,-12055.499167929182,-149399077185.6958,-15106848075.867031,-6517540736.0101166,-149471449698.35214,-15479580813.816658,-6653196729.9034967,1.1461876985257275,0.089260468489148981,-0.066661684947177377
7350692.3340730295,-149423443930.18924,-15728023509.792774,-6789820592.6719627,3722.9840400356625,-27378.551537475927,-12044.779727556479,-149379839049.63522,-15299939668.311951,-6601251443.1954479,-149445492585.56339,-15673705872.254715,-6737846042.5230694,1.1473995740077827,0.087233430960529865,-0.068311005010192036
7357769.5645068428,-149396949111.31808,-15921717571.50395,-6875026190.3512211,3764.324017122618,-27358.702753838545,-12034.008887867467,-149360304544.6351,-15493003027.191935,-6684949814.3590012,-149419219396.22629,-15867686882.003485,-6822440698.3742228,1.148588966226773,0.085132701332663055,-0.069912607626455014
7364846.7949406561,-149370162416.81219,-16115271272.492289,-6960155382.7205744,3805.4674654981432,-27338.885839973191,-12023.188096372507,-149340473705.46295,-15686037771.127693,-6768635686.1110067,-149392632234.01172,-16061523273.307493,-6906980291.2758894,1.1497544444319772,0.082960362322110529,-0.071465918886526938
7371924.0253744693,-149343085228.87991,-16308684832.828985,-7045207821.2013264,3846.4168146620987,-27319.099251745854,-12012.318739912451,-149320346567.46561,-15879043518.500957,-6852308894.9782562,-149365733203.92468,-16255214505.251381,-6991464425.9103327,1.1508946106213072,0.080718510342723898,-0.072970389097614288
7379001.2558082826,-149315718912.97357,-16501958461.742538,-7130183166.8301334,3887.1743707530632,-27299.341469036313,-12001.402149726786,-149299923166.57224,-16072019887.456619,-6935969277.4046841,-149338524412.04828,-16448760065.647638,-7075892717.8031139,1.15200810028496,0.078409255855261539,-0.074425491539094821
7386078.4862420959,-149288064818.6535,-16695092357.785913,-7215081089.8823624,3927.7423191139092,-27279.610994928615,-11990.439606189138,-149279203539.29712,-16264966495.904802,-7019616669.7519178,-149311007965.29382,-16642159470.930515,-7160264793.3049068,1.1530935831254294,0.076034723700942039,-0.075830721314778929
7393323.4325844888,-149259458683.06702,-16892658589.826626,-7301910388.9893999,3969.0774011192702,-27259.439696755609,-11979.170960991329,-149257686098.405,-16462454319.039909,-7105232708.0677462,-149282522957.73724,-16839990180.7556,-7246577705.4572659,1.1541744272711076,0.073538537360829118,-0.077217087366404494
7400568.3789268807,-149230553782.62375,-17090078775.25668,-7388657881.4731503,4010.2180385290012,-27239.293914014008,-11967.856729512694,-149235858304.17944,-16659910143.365601,-7190834786.0345659,-149253720010.78262,-17037666792.175638,-7332830947.489583,1.1552232130638509,0.070978496576310349,-0.078550183832923948
7407813.3252692735,-149201351518.8714,-17287353093.36256,-7475323241.5645504,4051.1661961397222,-27219.172112585755,-11956.498147635601,-149213720197.71552,-16857333558.227194,-7276422727.8378201,-149224601385.81946,-17235188879.005226,-7419024153.7085018,1.1562386293177114,0.068356929699743718,-0.079829533569477418
7415058.2716116663,-149171853279.57401,-17484481712.400997,-7561906152.3085594,4091.9237144723011,-27199.072781762457,-11945.096413302066,-149191271820.76254,-17054724152.720402,-7361996357.5747108,-149195169344.09299,-17432556046.09288,-7505156970.251133,1.1572194054348524,0.065676182161848534,-0.081054679263247442
7422303.2179540591,-149142060439.60669,-17681464789.768036,-7648406305.3034515,4132.4923112758015,-27178.994434089149,-11933.652690370331,-149168513215.72684,-17252081515.693298,-7447555499.2547131,-149165426146.44907,-17629767929.239513,-7591229055.0768604,1.1581643121393423,0.062938616738024922,-0.082225182603972283
7429548.164296452,-149111974361.84033,-17878302472.167328,-7734823400.4671297,4172.8735828341432,-27158.935605347458,-11922.168112239597,-149145444425.67444,-17449405235.748043,-7533099976.8000088,-149135374053.08292,-17826824195.12479,-7677240077.9618645,1.1590721622044735,0.060146613789584268,-0.083340623531969735
